rating,title,text,helpful_vote,verified_purchase,timestamp,asin
5.0,Such a lovely scent but not overpowering.,"This spray is really nice. It smells really good, goes on really fine, and does the trick. I will say it feels like you need a lot of it though to get the texture I want. I have a lot of hair, medium thickness. I am comparing to other brands with yucky chemicals so I'm gonna stick with this. Try it!",0,True,1588687728923,B00YQ6X8EO
4.0,Works great but smells a little weird.,"This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",1,True,1588615855070,B081TJ8YS3
5.0,Yes!,"Smells good, feels great!",2,True,1589665266052,B07PNNCSP9
1.0,Synthetic feeling,Felt synthetic,0,True,1643393630220,B09JS339BZ
5.0,A+,Love it,0,True,1609322563534,B08BZ63GMJ
4.0,Pretty Color,The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,0,True,1598567408138,B00R8DXL44
5.0,Handy,"Great for many tasks.  I purchased these for makeup removal.  No makeup on your washcloths.  Disposable, so great for travel.  Soft.  Absorbant.",0,True,1631885519443,B099DRHW5V
3.0,Meh,These were lightweight and soft but much too small for my liking. I would have preferred two of these together to make one loc. For that reason I will not be repurchasing.,0,True,1634275259292,B088SZDGXG
5.0,Great for at home use and so easy to use!,This is perfect for my between salon visits. I have been using this now twice a week for over a month and I absolutely love it! My skin looks amazing and feels super smooth and silky. This is also super easy to use (just follow instructions). I can see already that I will begin expanding the time between visits which will definitely help me save money in the long run. Highly recommend!,0,False,1627391044559,B08P2DZB4X
5.0,Nice shampoo for the money,"I get Keratin treatments at the salon at least 3-4 times a year (would do it more often if I could afford it). I am always in the market to use products that can help extend my salon visits. This Keratin shampoo is really nice. It is sulfate free (which is the first thing I look for ) and makes my hair feel silky smooth and soft. I highly recommend for anyone who wants to improve the texture and appearance of your hair. I really like the fragrance, too.",0,False,1626614511145,B086QY6T7N
3.0,Not what I thought I would be getting,"I was very disappointed when I got this facial scrub. I had assumed it was like other scrubs I use but it wasn't. This is a powder which you need to mix with water to make a paste before you put it on your face. I have a tendency to like to use scrubs in the shower with me, so this extra step doesn't really work for me. As far as the scrubbing factor goes, it's ok. I didn't feel a real smoothing or softening of my skin after use the way I have with others. The biggest plus is the fragrance (i love the smell of oranges). I won't be repurchasing.",0,False,1626211245370,B08DHTJ25J
5.0,A little goes a long way!,"This is a really nice moisturizing lotion. It goes on lightly and is readily absorbed into my skin. My skin feels amazingly softer and smoother and allows for a nice base for my makeup to be applied over. You only need a small pea sized amount to cover your entire face and neck. Highly recommend for all skin types, ages and for women as well as men.",0,False,1621184430697,B07RBSLNFR
3.0,Just ok,"I try to get Keratin treatments every 3 months, but honestly it has been getting costly. So, when I saw this I was excited to try it. I found it difficult to use and almost impossible to get to saturate the back of my hair and straight iron it the way they do in the salon. Front and sides were ok, but I couldn't maneuver the back to get it straight. Then I saw the ingredients after the first time and saw it contained formaldehyde and that was the last time I used the actual treatment. I did, however, use the shampoo and conditioner (and I still am). I wish they sold the S&C separate because I really did like it and I am always in the market for a good hair wash which won't strip my hair between treatments. I will resume my regular treatments at my salon.",0,False,1619737501209,B07SLFWZKN
5.0,Good quality hair brush!,"Really nice small brush. Made well, nice wood made with boar bristle, my son absolutely loves this. It brushes his hair well and keeps him looking his best. This compact size makes it nice to keep in the center console of his car or to take on vacation with him. Highly recommend!",0,False,1617904219785,B08JTNQFZY
5.0,Great refreshing skin care routine!,"I had never tried anything for my skin consisting of pomegranate, so I was anxious to try this. It actually is an entire skin care regimine containing a cleanser, a toner, a facial cream, an eye cream and overall moisurizers. I actually was quite surprised how well this worked from start to finish. It was nice having an entire skin care routine in one package (instead of me working with various separate products. Fragrance is light and smells almost apple-like (but very light). I particularly like the cleanser and the toner. It also comes in a beautiful gift box so this would make a wonderful gift for someone. I bought another for my mother-in-law and plan to give it to her when we visit next month. Highly recommend!",0,False,1613319236253,B08GLG6W8T
3.0,Didn't do much and difficult to place and maintain on your face,"When I saw this, I was thrilled to be able to try it. I have suffered from bags and dark circles under my eyes for years now. I have been 'using' this for almost three weeks and I am not happy with it. First, it's almost impossible for me to keep it in place under my eyes. They come wet out of the packet and I was unsure what side was supposed to be placed on my skin. They do not stay in place and I found them falling off easily. Of course, maybe it was me or my skin, so please don't just rely on my review (read others). I will not be reordering.",0,False,1607339460872,B08M3C6LVS
5.0,"Quality hair iron, works perfectly to straighten my hair!","This is a great hair straightener. Heats up quickly and evenly, makes it easy to take the curl out of my naturally wavy hair. It fits easily in my hand and maneuvers around the front and back of my head easily. Does not heat up my countertop (keeps the heat on the iron). I love this pink, too, it matches my decor perfectly. I highly recommend this Bellezza styler.",0,False,1598212476613,B07GHPCT6T
5.0,Great all natural ear swabs!,"I really like these ear swabs. First they come in a large, handy box and are easy to store (will last a long time). Second, they are all organic and good for the environment. Third, they are strong and don't fall apart very easily. I highly recommend these over Q-Tips (which I have used for years).",0,False,1596473351088,B07KG1TWP5
5.0,Wonderful overnight cream!,"To be honest, I rarely have used an overnight cream. Typically, my skin care routine is the same morning and night (wash, apply hyalauronic serum, and some kind of moistutrizer). So, when I saw this Iryasa cream I wanted to try it. Easy to apply, you can immediately feel the moisture starting to work. I do apply this about 30 minutes before I actually go to sleep to allow it time to be absorbed (before putting my face on my pillow) as it is a thicker type of cream and needs time. My skin in the morning feels better than ever. Soft and supple, I definitely feel a difference after using this for over 2 weeks now. I highly recommend this cream for women and men.",1,False,1593352422858,B07W397QG4
